"Algorithm","Accuracy","SE","Replicated"
"K-Means + Fisher-Rao",0.941266666666667,0.00138598079385782,"0.941 ± 0.001"
"K-Means + Euclidean",0.911033333333333,0.00202990824846695,"0.911 ± 0.002"
"Hierarchical + Fisher-Rao",0.8487,0.00899456064586377,"0.849 ± 0.009"
"Hierarchical + Euclidean",0.732933333333333,0.0128439026833424,"0.733 ± 0.013"
